no,company,type,division,level,sentence,Response to the Question (Japanse)
1,0,1,BP,2,Lack of early design validation causing rework and re-creation,設計の初期検討が不十分で、あとになってやり直しや手戻りが多い
2,0,1,IT,3,"Users, including partners and suppliers, struggle to view and share multi-CAD design data",技術データ(CADデータ、技術文書等)の共有に苦労している
3,0,1,BP,3,"Inability to validate cost, product and service compliance during the design phase",国や地域・業界等の規制情報を設計段階で考慮できない
4,0,1,BP,5,"Lack of visibility into supply chain / manufacturing data, compliance and risk for design decisions",設計や製造の情報を、意思決定者(経営層)がタイムリーに把握できない 
5,0,1,BP,3,"Lack of traceability between software requirements and code, and visibility into release readiness",制御ソフト開発の要求仕様とコード間の追跡ができず進捗状況を把握できない
6,0,1,BP,3,Lack of integrated view of service organization or service network,保守サービス部門の組織体制やサービス網の全体を把握することが難しい
7,0,1,BP,3,Lack of collaboration due to disconnected engineering disciplines; no cross-discipline view,開発拠点が分断しお互いの連携不足のため、部門間をまたがる状況把握ができない
8,0,1,BP,4,"Limited visibility into product performance, usage, environment and quality",自社製品の顧客先での普段の利用状況がよくわからない
9,0,1,IT,2,Inability for non-CAD users to visualize / interrogate data and provide input during product development,設計ツール(CAD等) を使っていない人(営業・調達等)は、設計データを見ることができない
10,0,1,BP,4,"Inconsistent, inefficient and fragmented hardware, software and systems engineering processes",業務プロセスが全体的に一貫性がなく、個々にばらばらで仕事の効率が非常に悪い
11,0,1,BP,5,"Lack of standardization, reuse and repurpose; re-creation of designs and revalidation of requirements",データの標準化やルールが無いので、何でも新規に設計データや資料を作成する傾向が強い
12,0,1,IT,4,Cost / compliance data is scattered across systems and disconnected from the product definition,コストやコンプライアンス情報は複数のITシステムに分散し、製品データと切り離されている
13,0,1,BP,4,Inconsistent processes to identify / engage suppliers and communicate product / part requirements,サプライヤや協力会社に対して、製品や部品の要件の伝え方に一貫性がない
14,0,1,BP,5,Difficulty predicting product development projects cost and time to complete,製品開発プロジェクトの開始から完了までの総コストや所要時間を予測するのが難しい
15,0,1,BP,5,"Difficulty managing change across engineering, manufacturing, production and service",設計、調達、生産、サービスといった、ものづくり全体で変更を管理することが難しい
16,0,1,IT,3,Inflexible across manufacturing sites; lack of manufacturing process / resource reuse,製造工程のデータやリソースの再利用について、複数の拠点間で情報連携する柔軟性がない
17,0,1,BP,1,Difficulty providing accurate manufacturing information to production on time,生産現場のメンバーに、製造情報を正確かつタイムリーに提供することが難しい
18,0,1,IT,3,"Limited lifecycle traceability across requirements, system models, designs and test cases",社内のITシステムの開発要件の定義、コーディング、テスト等のトレーサビリティが限定的である
19,0,1,IT,3,"Inability to manage or rapidly implement changing product, software and service requirements",製品本体、ソフトウェア、サービス等に関する要件管理が不十分で、突然の変更に対処ができない
20,0,1,CM,5,Inability to meet local market demands / customer requirements or easily penetrate new markets,最新の需要や市場動向がわからないので、新しい事業機会があっても短期間で刈り取ることができない
21,0,1,CM,4,"Increasing product, regulation and service complexity (global, local)",グローバルやローカル市場で年々増加し続ける製品/規制/サービスの複雑性に追随できない
22,0,1,BP,3,"Duplicate or disparate parts, materials and suppliers across product lines; common cost variance",製品カテゴリをまたがって、部品やサプライヤの重複やミスマッチによる原価の不一致がある
23,0,1,BP,3,Difficult to predict / track quality and feedback and identify root cause; rising warranty repair costs,品質や不具合の根本原因の特定が難しく、保証修理にかかる自社経費が増加している
24,0,1,BP,5,Poor capture and management of quality-related feedback causing repeated problems,繰り返し発生している品質問題の対策結果を会社全体で適切に共有・管理できていない
25,0,1,BP,1,Unidentified field-failure trends; ongoing product quality and performance issues,現場で発生している不具合が特定できず、製品の品質や性能の問題が常に発生している
26,0,1,BP,2,"Poor quality, inaccurate or overly complex service information",保守サービスに関する資料や情報の品質が低く、中身も古いので現場の作業が混乱している
27,0,1,CM,4,Inability to manage and optimize product architecture to efficiently meet local demands,製品アーキテクチャ(製品基本仕様)の管理が不十分で、引き合い需要を効率的に取り込めない
28,0,1,BP,2,Inefficient warranty support process; OEMs recover little of warranty costs,保証サポートの業務効率が悪いので、保証コストはほとんど回収できていない
29,0,1,BP,1,"Poor user experience ordering parts, requesting and receiving service; slow response / resolution times",保守の部品やサービスの利用者からの評価が低く、サービス対応時間や修理の解決時間も長い
30,0,1,BP,3,High customer support call volumes; unnecessary / multiple dispatches,顧客からのサポート依頼の件数が多い、実際には訪問する必要のなかった派遣の件数も多い
31,0,1,BP,1,Lack of field technician visibility into parts / service information; inefficient service / diagnostic processes,フィールド技術者が部品やサービス情報を把握できず、効率の悪いサービス診断手順になっている
32,0,1,HD,2,High service workforce turnover or technician downtime; reliance on aging / experienced workforce,サービス担当者の入替えが多く、技術者の稼働率も低い、かつ経験豊富な人材が高齢化している
33,0,1,BP,4,Unable to balance utilization across planned / break-fix or expand service into new markets,アフターサービスや修理に関する利用率や契約率が悪く、新市場にサービス事業を拡張できない
34,0,1,CM,4,Lack of accurate and automated parts planning result in excessive and obsolete parts inventory,部品の調達計画が不正確で自動化もできず、常に部品在庫に余剰が発生している
35,0,1,BP,4,Missed service level agreement (SLA) compliance,保守サービスの現場の業務内容が、サービス品質保証契約 (SLA) に準拠していない
36,0,1,BP,3,Inefficient warranty contract sales process; low install base penetration of service contracts,保証契約を販売するプロセス(手順)の効率が悪く、サービス契約の浸透率や成約率が低い
37,0,1,BP,4,High or unscheduled product / equipment downtime; poor product performance,製品の非稼働時間が長く、保守サービスが計画的でないので、製品のパフォーマンスが悪い
38,0,1,IT,5,"Disparate and redundant data sources, lack of current “single source of truth”","データの出所が多種多様で、最新データを格納した ""唯一の正しい情報源"" という概念がない"
39,0,1,IT,3,IoT application development tools limit rapid innovation and modification,IoTアプリケーション開発ツールの機能に問題があるので、情報システムの開発スピードが遅い
40,0,1,IT,3,Long IoT project cycles; inability to securely connect products and manage data,IoTシステムの開発のプロジェクト期間が長く、安全にデータを管理する仕組みも不十分
41,0,1,IT,3,"Inability to secure, reuse and share data and intellectual property",顧客データや製品の知的財産に関する安全な管理、再利用、共有ができない
42,0,1,IT,5,"Lack of secure access on multiple platforms (desktop, mobile, cloud)",外出先のモバイル端末から、社内の情報システムやデータベースやクラウドに安全にアクセスできない
43,0,1,IT,5,Poor application / system performance; difficult scaling technology to meet evolving business needs,現行のアプリケーションやシステムが老朽化し、変化の激しい事業環境に追いついていない
44,0,2,CM,5,"Increase market share, revenue and growth",市場シェア / 収益 / 成長率 
45,0,2,CM,5,Decrease warranty costs as a percent of revenue; warranty efficiency,収益に占める保証コストの割合、保証効率
46,0,2,BP,5,Increase Service and parts revenue and profitability,サービスおよび部品による収益 / 利益率 
47,0,2,CM,5,Increase revenue from new products or new variant,新製品 ( 新バリエーション) による収益
48,0,2,BP,4,Effective usage of research and development expense; total development cost per project / budget,研究開発費、プロジェクト / 予算あたりの合計開発コスト 
49,0,2,BP,3,Cut rework costs,やり直しのコスト
50,0,2,BP,3,Reduce scrap costs,スクラップのコスト
51,0,2,BP,4,Reduce product cost and cost of goods sold (COGS),製品原価、売上原価
52,0,2,BP,4,Reduce service costs,サービス コスト
53,0,2,IT,4,Reduce IT spend ,IT 関連支出
54,0,2,BP,4,Decrease spend per supplier; material cost variance ,サプライヤあたりの支出、材料原価差異
55,0,2,BP,3,On-time delivery or time in design phase,納期の順守または設計期間
56,0,2,BP,2,Reduce time doing non-value-add activities ,付加価値を生まない作業に費やしている時間
57,0,2,BP,1,Reduce engineering time spent on rework,エンジニアがやり直し作業に費やしている時間
58,0,2,BP,3,Measure average ECO (Engineering Change Order) and software change cycle-time,平均 ECO およびソフトウェア変更サイクル時間
59,0,2,BP,3,Meausre number of ECOs to fix quality / compliance issues; ECOs after product release ,品質 / コンプライアンスに関する問題を解決するための ECO の数、製品リリース後の ECO 
60,0,2,BP,1,Visualization of field technician utilization rate ,フィールド サービス技術者の稼働率
61,0,2,IT,3,Faster software development cycle time; IoT application development time,ソフトウェア開発サイクル時間、IoT アプリケーション開発期間
62,0,2,IT,3,"Reuse of requirements, designs, processes and test assets ",要件、設計、プロセス、テスト アセットの再利用
63,0,2,BP,5,Visualization of manufacturing cycle time; overall equipment effectiveness (OEE),製造サイクル時間、総合設備効率 (OEE)
64,0,2,BP,4,Reuse of parts in BOM or software asset reuse; resource and tool reuse ,BOM の再利用部品またはソフトウェア アセットの再利用、リソースとツールの再利用
65,0,2,BP,2,Improve first time fix rate (FTFR) ,初回修理完了率 (FTFR)
66,0,2,BP,3,Reduce number of physical prototypes,物理プロトタイプ ( 実機試作) の数
67,0,2,CM,3,Evaluate number of new parts or software features introduced and introduction rate,新規部品またはソフトウェア機能の投入数や投入率
68,0,2,BP,3,"Measure product failure rate (e.g. MTBF, mean time between failure) ",製品の故障率 (MTBF、平均故障間隔)
69,0,2,BP,2,Shorter mean time to repair (MTTR),平均修理時間 (MTTR) 
70,0,2,CM,4,"Recude inventory turns, costs and parts inventory turnover rate",在庫回転数、コスト、部品の在庫回転率
71,0,2,BP,4,Measure first-time yield,歩留まり
72,0,2,CM,4,Measure number of products launched at cost target per budget ,予算内の目標コストで市場投入した製品
73,0,2,BP,4,Measure warranty and service contract renewal rate; new service business per new markets ,保証およびサービスの契約更新率、新規サービス ビジネス / 新規市場
74,0,2,BP,4,Visualization of number of days for NPI (new product introduction) or time-to-market on average,NPI ( 新製品導入) または市場投入期間の平均日数
75,0,2,BP,3,Measure SLA (Service Level Agreement) compliance; Visualization of product per part or technician availability ,SLA コンプライアンス、製品 / 部品の在庫または技術者の対応可能性
76,0,2,BP,5,"Visualization of number of recalls, exceptions, warning letters, rework and audits ",リコール、例外、警告書、再作業、監査の数
77,0,2,BP,5,Count number of occurrences of lost intellectual property (IP),IP ( 知的財産) の紛失回数
78,0,2,CM,5,Decrease of number of occurrences of non-compliance in global markets,グローバル市場におけるコンプライアンス違反の回数
79,0,2,CM,5,Reduce fines and liability or lost revenue due to compliance issues and missed SLAs,コンプライアンス問題および SLA 違反に起因する罰金および不利益、または収益減
80,0,2,CM,5,"Improve customer satisfaction, loyalty scores and net promoter score (NPS)",顧客満足度 / ロイヤリティ スコア、推奨者正味比率 (NPS) 
81,0,2,BP,3,"Measure average resolution time, customer wait time; remote fix rate",平均解決時間 / 顧客待機時間、リモート修理率
82,0,2,BP,3,Improve equipment up-time / product quality ,機器の稼働時間 / 製品の品質
83,0,2,CM,5,Improve Employee satisfaction,社員満足度
84,1,1,IT,5,"Since there is no IT strategy, we continue to use legacy IT systems. ",
85,1,1,CM,4,"The secondary use of data is limited, which does not lead to strengthening of corporate competitiveness. ",
86,1,1,HD,4,The next generation of leaders cannot be brought up because human resource development is not planned.,
87,1,1,BP,3,Even mature materials are growing. ,
88,1,1,BP,1,Discussions are active. ,
89,1,1,HD,2,A corporate culture where failure is allowed.,
90,1,1,BP,2,The necessary information is clear. ,
91,1,1,BP,3,There is a process for determining which information is centrally managed. ,
92,1,1,BP,3,Share information with multiple departments. ,
93,1,1,BP,4,Create a process for checking and checking standards for product quality. ,
94,1,1,CM,5,The management strategy is clearly explained so that everyone can understand it. ,
95,1,1,IT,5,Criteria for data and information stored in the system are clear. ,
96,1,1,IT,3,Information is reliable.,
97,1,1,IT,5,"Planning, development, manufacturing, sales, linking information assets including the market, centralized management, building an information utilization platform that can be used effectively",
98,1,1,BP,1,"The root cause is not known for the defect, and it becomes a provisional process.",
99,1,1,BP,2,There are differences in security perceptions among people.,
100,1,1,IT,2, The reliability of information is unknown.,
101,1,2,IT,4,A system that allows information from other departments to be searched safely. ,
102,1,2,CM,5,You can see market changes and new product information. ,
103,1,2,IT,3,Data with secured security is disclosed. ,
104,1,2,BP,2,The detailed cost status of the business partner can be seen. ,
105,1,2,BP,1,You can see the production status and search for causes and countermeasures. ,
106,1,2,BP,2,The operating status of the product can be seen.,
107,1,1,BP,3,The market is on a downward trend. ,
108,1,1,IT,2,There is too much information flow. ,
109,1,1,BP,1,Low awareness of service parts supply.,
110,1,2,IT,4,Necessary data can be extracted like the Internet. ,
111,1,2,BP,1,Simulation can be done easily by changing the conditions for the past and current products. ,
112,1,2,BP,2,Past problems and current problems are linked. ,
113,1,2,BP,2,Product costs can be extracted from product costs. ,
114,1,2,IT,4,"Data unification, key unification.",
115,1,1,BP,4,It is difficult to see the product image that the customer wants. ,
116,1,1,CM,5,The business growth strategy is unclear. ,
117,1,1,BP,4,Costs throughout the life of the product are difficult to see.,
118,1,2,CM,5,A consistent concept is shared in the product concept. ,
119,1,2,BP,3,Past trouble information is shared in a form that anyone can easily understand. ,
120,1,2,BP,3,Quality function analysis has been made and passed down reliably. ,
121,1,2,IT,3,"Data including production, sales, and market support based on design changes is managed. ",
122,1,2,IT,4,Product cost information can be centrally managed and clearly understood. ,
123,1,2,CM,5,Market growth and market requirements are clearly analyzed and utilized in the product concept.,
124,1,1,CM,5,"A product roadmap is shown, but I don't know if there is a strategy. ",
125,1,1,CM,4,I don't know if there is a direction of design and manufacturing. ,
126,1,1,CM,5,"The demand from the market rises, but there is no convincing explanation whether it is really necessary.",
127,1,2,IT,2,A database that can easily check the manufacturing cost is required. ,
128,1,2,IT,1,Anyone needs a mechanism that can trace the change history. ,
129,1,2,CM,4,A detailed explanation of the strategy is required. ,
130,1,2,BP,3,A mechanism to check the status of the equipment is required. ,
131,1,2,BP,1,A mechanism that anyone can check reliability data is required. ,
132,1,2,IT,5,A database and rules that can centrally manage information are required.,
133,1,1,IT,1,It takes time to create a report. ,
134,1,1,BP,2,There are many rework for new product development. ,
135,1,1,BP,3,There are many design changes after mass production.,
136,1,2,IT,2,Link information about the contents of the problem that occurred. ,
137,1,2,HD,4,Creation of manuals for human resource development. ,
138,1,2,BP,2,Use the internal information of the product. ,
139,1,2,BP,2,Visualize the cost of parts used. ,
140,1,2,BP,5,Share information within the headquarters. ,
141,1,2,CM,4,Share the brand concept at the time of development.,
142,1,1,BP,1,"Many rework, later changes, lack of initial information. ",
143,1,1,BP,1,"Things can't be seen in many ways, forgetting costs, etc. ",
144,1,1,HD,1,There is a shortage of youth with an uneven age group.,
145,1,2,BP,2,Learn the latest technology and create new product quality. ,
146,1,2,HD,1,Execute a process to transfer technical know-how. ,
147,1,2,HD,5,Create and implement human resource utilization strategies. ,
148,1,2,CM,5,Explain the business strategy in a way that all employees are not worried about. ,
149,1,2,BP,4,Quantify and visualize technical know-how in a consistent way. ,
150,1,2,BP,3,Manage and monitor products throughout their lifecycle.,
151,1,1,HD,2,There is work that does not know the rules. ,
152,1,1,IT,1,I can't see the data I want to see.,
153,1,1,BP,1,There are many incidental tasks. ,
154,1,1,BP,2,It takes a long time to get information or time is not available. ,
155,1,1,HD,1,"A lot of tacit knowledge, the obtained information is personal.",
156,1,2,BP,4,Visualize market feedback and create a mechanism to provide feedback on new products. ,
157,1,2,IT,4,Clarify rules and mechanisms related to information security. ,
158,1,2,BP,3,Automate areas that can reduce incidental work. ,
159,1,2,HD,4,Build a mechanism that can formalize implicit knowledge. ,
160,1,2,IT,3,"Centralize information about products and parts (performance, cost). ",
161,1,2,IT,5,Build a system of information that can be acquired from products and parts.,
162,1,1,BP,3,The same quality standards are used for different product categories. ,
163,1,1,CM,2,The business has not been transferred to overseas factory members. ,
164,1,1,HD,1,There is a lot of tacit knowledge and I don't know what is accurate.,
165,1,2,BP,4,Double standard standard for quality. ,
166,1,2,BP,4,Group quality assessment at the development stage. ,
167,1,2,BP,3,Regular security testing. ,
168,1,2,CM,5,Centralize information storage location (database).,
169,1,2,CM,5,Japan factory. ,
170,1,2,HD,4,Review the recruitment period.,
171,1,2,CM,5,Review organizational hierarchy. ,
172,1,2,BP,4,Examination of utilization of accumulated data (integration of manufacturing and sales). ,
173,1,2,BP,1,Improve wasteful work including factory floors. Review system data linkage. ,
174,1,2,HD,3,Revision of recruitment plan including mid-career recruitment. ,
175,1,2,IT,4,Excavation and utilization of data buried in each base.,
176,1,1,BP,3,There are many cases where the business is systematized even though the requirements have not been assessed. ,
177,1,1,BP,1,There are many follow-up tasks. ,
178,1,1,BP,5,There are times when the head office and factory do not have a common understanding of issues.,
179,1,2,IT,4,Make the current system slim. ,
180,1,2,BP,3,Review of information transmission route. ,
181,1,2,IT,3,Create rules to share information. ,
182,1,2,HD,4,Implementation of human resource rotation. ,
183,1,2,HD,5,Strengthening recruitment. ,
184,1,2,BP,2,"Identifying, organizing and reviewing duplication of work contents.",
185,1,1,IT,5,The IT infrastructure between the factory and the head office is weak. ,
186,1,1,IT,2,It cannot withstand the amount of data. ,
187,1,1,IT,4,"Since the data format is not complete, understanding does not progress. ",
188,1,1,IT,1,The information is inconsistent.,
189,1,2,IT,4,Introduced monitoring systems at manufacturing sites and markets. ,
190,1,2,CM,5,Clarification of product roadmap. ,
191,1,2,IT,4,Information database management and linkage (feedback system) for each department. ,
192,1,2,IT,5,Renovation of IT system. ,
193,1,2,BP,4,Clarification of business processes and arrangement of points for collaboration between departments. ,
194,1,2,HD,4,Securing and developing human resources. ,
195,1,2,CM,5,Place the right person in the right place.,
196,1,1,CM,5,Aging. ,
197,1,1,CM,3,"Language, English ability. ",
198,1,1,IT,4,The system is scattered.,
199,1,2,IT,5,System rebuild. ,
200,1,2,CM,5,Developing country business. ,
201,1,2,CM,5,Reorganization. ,
202,1,2,IT,3,Strengthen information collaboration. ,
203,1,2,BP,4,Strengthen group company collaboration.,
204,1,1,BP,3,The data is inconsistent. ,
205,1,1,CM,4,Items are not organized. ,
206,1,1,IT,4,Different IT systems. ,
207,1,1,BP,1,Personally entrusted work. ,
208,1,1,HD,1,Each person has different opinions. ,
209,1,1,BP,1,Each person has a different approach. ,
210,1,1,CM,3,Goal setting that cannot be achieved.,
211,1,2,BP,3,Clarify and unify what is appropriate as data and what is missing. ,
212,1,2,BP,4,Make the goal setting based on information and reasoning. ,
213,1,2,BP,4,Systematize the business flow between other departments. ,
214,1,2,IT,4,Unification of data extraction destinations. ,
215,1,2,HD,5,Hire young employees to provide specialized education. ,
216,1,2,IT,4,Clarification of necessary technology (as design).,
217,1,1,IT,5,Low awareness of information security. ,
218,1,1,IT,2,Centralized data management methods vary from person to person. ,
219,1,1,BP,4,There is resistance to changing business processes.,
220,1,2,IT,4,Make it easy to analyze and use knowledge. ,
221,1,2,CM,5,Match product sales and design. ,
222,1,2,BP,5,Get market (product) information quickly. ,
223,1,2,BP,5,Make design changes easier (distinguish from ERP roles). ,
224,1,2,CM,4,Consider a method to make costs low (strategic products). ,
225,1,2,IT,4,Simplify and store design information.,
226,1,1,CM,5,The goal is not well known. ,
227,1,1,CM,4,Numeric data is not unified. ,
228,1,1,BP,3,Duties are duplicated with other departments.,
229,1,2,BP,5,Develop a business manual. ,
230,1,2,IT,5,Introduce a common system. ,
231,1,2,HD,5,Organize training content in the form of OJT. ,
232,1,2,BP,2,Limit meeting room usage time. ,
233,1,2,HD,4,Implementation of training for young employees across departments. ,
234,1,2,BP,4,Identify business details and screen for unnecessary.,
235,1,1,CM,5,The purpose and goal are not broken down into concrete means. ,
236,1,1,BP,5,Past defects are not easily utilized next. ,
237,1,1,BP,2,Each person and department is working on similar tasks.,
238,1,2,IT,5,Centrally manage data. ,
239,1,2,BP,4,Decide things with numbers. ,
240,1,2,CM,4,Reduce market follow-up by analyzing the market. ,
241,1,2,CM,5,Distribute responsibility and authority. ,
242,1,2,IT,3,Data utilization. ,
243,1,2,BP,5,To limit the design change after mass production.,
244,1,1,BP,3,There are many design changes. ,
245,1,1,IT,5,Centralized management of data and information is not possible. ,
246,1,1,CM,5,Company policy and aim are unclear.,
247,1,2,HD,5,Strategic young recruitment and development. ,
248,1,2,BP,4,Sharing quality issues and countermeasures. ,
249,1,2,CM,5,Clarification of product concept. ,
250,1,2,IT,4,Consistent data management and utilization. ,
251,1,2,BP,4,Business design that does not rely on people. ,
252,1,2,BP,3,Fast collaboration between departments.,
253,1,1,BP,4,Many people do not know that our industry is a sluggish industry. ,
254,1,1,CM,4,Costs are not compatible with market prices. ,
255,1,1,BP,2,The status of development and sales is not shared.,
256,1,2,BP,4,Actively recruit young people for important projects. ,
257,1,2,CM,5,"Since we have to focus on customers, we should be on the market more. ",
258,1,2,CM,5,"To reduce costs, only a portion of the profits are shared, so it can be visualized by participating in management. ",
259,1,2,BP,3,Costs to obtain information. ,
260,1,2,BP,4,Clarification and sharing of responsible departments.,
261,1,1,BP,2,There is no mechanism for investigating the cause of a failure. ,
262,1,1,IT,4,Information is not unified. ,
263,1,1,BP,3,A large number of design changes.,
264,1,2,HD,3,A training plan for young people. ,
265,1,2,IT,2,Data encryption. ,
266,1,2,BP,3,Document and systematize and share personal information and know-how. ,
267,1,2,IT,4,Combine the locations where information is stored. ,
268,1,2,BP,4,Prohibit personal possession of data. ,
269,1,2,BP,4,Create a mechanism to investigate the cause of defects.,
270,1,1,BP,4,Defects and design changes occur after mass production. ,
271,1,1,BP,3,"Since the factory is far away from overseas, I can't see quality and productivity problems. ",
272,1,1,BP,3,There are many business wastes due to inconsistent data.,
273,1,2,CM,5,Create a mother factory in Japan. ,
274,1,2,IT,4,Use a common system for each department. ,
275,1,2,IT,5,"Centralized data management system, rules, and utilization. ",
276,1,2,CM,5,Share resources among group companies. ,
277,1,2,BP,4,Review development steps. ,
278,1,2,BP,3,Increase the stage of study with virtual data. ,
279,1,2,BP,3,Obtain and share factory information and market information.,
280,1,1,CM,5,Product roadmap is not fixed. ,
281,1,1,BP,4,The design basis is often unclear. ,
282,1,1,IT,4,The information you want will not be gathered unless you refer to various database systems.,
283,1,2,IT,4,Build a unified database. ,
284,1,2,BP,4,Real-time sharing of manufacturing costs. ,
285,1,2,HD,2,Know-how and tacit knowledge. ,
286,1,2,BP,4,Visualization of decision-making basis. ,
287,1,2,BP,4,Visualization of design basis. ,
288,1,2,HD,5,Recruitment and development of human resources for the future.,
289,2,1,BP,4,Collaboration between departments is weak. ,
290,2,1,BP,1,I cannot see the progress of production. ,
291,2,1,BP,1,I can't see the cost.,
292,2,2,BP,4,Make production capacity visible with a performance management system that includes partner companies. ,
293,2,2,BP,3,Visualization with production process management system. ,
294,2,2,IT,3,Visualize costs with a system that lists configurations and costs.,
295,2,1,BP,2,It is not quantified because it only manages the progress of the site in daily reports.　,
296,2,1,BP,3,Cost performance and work progress cannot be monitored.,
297,2,1,BP,3, Product quality has not been quantitatively evaluated.,
298,2,2,CM,4,Numerically manage the schedule and results of the work process from product planning to product delivery. ,
299,2,2,CM,4,Clarify the evaluation rules for product quality and parts quality. ,
300,2,2,BP,4,Input data and output data related to work processes can be reused to eliminate waste and ensure traceability.,
301,2,1,BP,1,Unnecessary work or unreasonable work occurs. ,
302,2,1,BP,1,"Since there is not enough manpower, the quality is degraded. ",
303,2,1,CM,3,There is not enough physical space to do the work. ,
304,2,1,BP,4,"As a result, shipment is not possible.",
305,2,2,BP,4,Standardize and document work on new products. ,
306,2,2,CM,5,Improve production capacity and establish production methods.,
307,2,2,BP,4,Improvement and improvement of production efficiency.,
308,2,1,CM,4,Insufficient human resources. ,
309,2,1,BP,3,Delivery time is strict. ,
310,2,1,BP,2,There are many defects.,
311,2,2,BP,3,Visualization of production management. ,
312,2,2,BP,3,Asset data and sharing. ,
313,2,2,CM,4,Standardization of core parts.,
314,2,1,BP,3,We have not reached the customer skill level. ,
315,2,1,BP,4,Work materials and product specifications are not standardized or ruled. ,
316,2,1,CM,4,Not keeping up with customer demands and market changes.,
317,2,2,IT,4,Collective management of all information. ,
318,2,2,HD,4,Form an organization appropriately and develop human resources. ,
319,2,2,CM,5,Strengthen marketing.,
320,2,1,CM,4,"Development groups from different divisions exist in the same department, but there is no sense of unity as a department. ",
321,2,1,CM,4,The market does not match between new business and conventional business.,
322,2,2,BP,5,Develop customers. ,
323,2,2,CM,5,Make new businesses fit the market. ,
324,2,2,CM,5,Adopt new business products in existing business products.,
325,2,1,BP,4,There are no business rules. ,
326,2,1,BP,4,And it is not unified. ,
327,2,1,CM,4,There is no equipment to meet the order volume. ,
328,2,1,CM,4,"For example, factory space and production equipment. ",
329,2,1,BP,3,It's an inefficient job because it's done manually by hand from paper to data.,
330,2,2,CM,4,Expand production space. ,
331,2,2,IT,4,Create a system that can be used in each department by creating a database of various information. ,
332,2,2,BP,4,Clarify business rules and document them.,
333,2,1,BP,1,Low technical ability. ,
334,2,1,BP,3,Correspondence range does not spread. ,
335,2,1,HD,3,"Since there are few young people, the organization cannot be maintained. ",
336,2,1,HD,2,I can't get a job because I'm short of manpower.,
